session_id,station_id,start_time,end_time,charge_time_hrs,kwh_total
22,ST-014,2023-01-01 14:30:00,2023-01-01 17:32:09.014680449,3.04,15.35
23,ST-003,2023-01-01 11:22:00,2023-01-01 13:46:15.617328884,2.4,5.52
24,ST-015,2023-01-01 07:05:00,2023-01-01 08:23:11.893704761,1.3,6.93
25,ST-008,2023-01-01 11:41:00,2023-01-01 15:44:32.666246435,4.06,16.79
26,ST-004,2023-01-01 09:43:00,2023-01-01 11:58:12.509750011,2.25,7.07
27,ST-007,2023-01-01 16:54:00,2023-01-01 17:19:37.975771809,0.43,3.18
28,ST-013,2023-01-01 10:34:00,2023-01-01 11:19:53.030069041,0.76,3.58
29,ST-008,2023-01-01 13:43:00,2023-01-01 16:14:34.401268661,2.53,15.92
30,ST-002,2023-01-01 08:38:00,2023-01-01 11:20:54.470743011,2.72,12.61
31,ST-003,2023-01-01 16:29:00,2023-01-01 19:24:41.682975525,2.93,17.27
32,ST-003,2023-01-01 10:35:00,2023-01-01 11:58:17.191933128,1.39,4.94
33,ST-007,2023-01-01 15:20:00,2023-01-01 17:33:59.997948533,2.23,5.41
34,ST-007,2023-01-01 14:28:00,2023-01-01 17:58:20.706773303,3.51,21.42
35,ST-011,2023-01-01 14:29:00,2023-01-01 15:47:45.195321462,1.31,0.5
36,ST-013,2023-01-01 09:16:00,2023-01-01 11:16:05.656636023,2.0,6.97
37,ST-005,2023-01-01 17:01:00,2023-01-01 19:42:18.449811363,2.69,11.35
38,ST-005,2023-01-01 06:33:00,2023-01-01 08:27:59.149832803,1.92,8.27
39,ST-011,2023-01-01 13:43:00,2023-01-01 17:23:45.434687619,3.68,14.69
40,ST-004,2023-01-02 10:02:00,2023-01-02 15:05:14.989244119,5.05,19.77
41,ST-007,2023-01-02 09:48:00,2023-01-02 13:25:04.395415616,3.62,17.07
42,ST-010,2023-01-02 12:30:00,2023-01-02 14:12:51.317155745,1.71,8.88
43,ST-008,2023-01-02 08:02:00,2023-01-02 08:59:59.309678939,0.97,4.77
44,ST-002,2023-01-02 13:44:00,2023-01-02 16:05:27.482431205,2.36,11.23
45,ST-008,2023-01-02 13:18:00,2023-01-02 15:18:24.794362798,2.01,
46,ST-014,2023-01-02 19:05:00,2023-01-02 21:48:11.572768798,2.72,8.29
47,ST-015,2023-01-02 19:14:00,2023-01-02 23:48:06.235913783,4.57,19.56
48,ST-012,2023-01-02 18:10:00,2023-01-02 19:20:17.562653572,1.17,2.47
49,ST-015,2023-01-02 11:46:00,2023-01-02 14:15:37.873535769,2.49,10.48
50,ST-015,2023-01-02 18:00:00,2023-01-02 20:36:31.326797815,2.61,13.41
51,ST-015,2023-01-02 12:07:00,2023-01-02 13:36:17.245232334,1.49,2.89
52,ST-007,2023-01-02 11:11:00,2023-01-02 14:46:56.698982977,3.6,11.86
53,ST-013,2023-01-02 11:07:00,2023-01-02 13:13:24.452232356,2.11,12.28
54,ST-008,2023-01-02 18:39:00,2023-01-02 20:57:52.535465640,2.31,8.1
55,ST-008,2023-01-02 13:01:00,2023-01-02 15:43:42.796908520,2.71,8.68
56,ST-011,2023-01-02 13:08:00,2023-01-02 18:39:15.487842146,5.52,29.92
57,ST-003,2023-01-02 11:55:00,2023-01-02 12:39:37.930552064,0.74,1.5
58,ST-013,2023-01-02 17:01:00,2023-01-02 18:38:30.357820947,1.63,5.19
59,ST-007,2023-01-02 12:13:00,2023-01-02 13:26:30.369740766,1.23,3.8
60,ST-002,2023-01-02 17:22:00,2023-01-02 19:45:12.785765628,2.39,5.23
61,ST-005,2023-01-02 21:27:00,2023-01-02 22:24:18.334448896,0.96,0.91
62,ST-013,2023-01-02 23:48:00,2023-01-03 00:53:38.832163474,1.09,3.71
63,ST-006,2023-01-02 19:08:00,2023-01-02 20:26:56.777421190,1.32,5.05
64,ST-014,2023-01-02 14:55:00,2023-01-02 16:57:55.005772285,2.05,8.61
65,ST-007,2023-01-02 12:06:00,2023-01-02 14:16:49.206043161,2.18,10.29
66,ST-013,2023-01-02 14:03:00,2023-01-02 17:45:54.932332981,3.72,16.81
67,ST-013,2023-01-02 13:19:00,2023-01-02 15:49:00.364578154,2.5,8.84
68,ST-009,2023-01-02 12:02:00,2023-01-02 17:02:42.487094580,5.01,26.77
69,ST-015,2023-01-02 09:24:00,2023-01-02 10:33:54.382441031,1.17,8.7
70,ST-002,2023-01-02 14:03:00,2023-01-02 14:27:23.388536271,0.41,4.57
71,ST-013,2023-01-02 08:54:00,2023-01-02 10:50:03.012831816,1.93,9.3
72,ST-010,2023-01-02 11:38:00,2023-01-02 14:00:32.930681955,2.38,9.7
73,ST-005,2023-01-02 18:30:00,2023-01-02 18:42:00.000000000,0.2,0.5
74,ST-011,2023-01-02 14:38:00,2023-01-02 16:41:13.329008692,2.05,3.77
75,ST-003,2023-01-02 19:25:00,2023-01-02 20:04:33.718730762,0.66,5.49
76,ST-012,2023-01-02 12:19:00,2023-01-02 13:33:11.478433758,1.24,4.44
77,ST-012,2023-01-02 15:56:00,2023-01-02 20:30:43.586135370,4.58,23.68
78,ST-007,2023-01-02 19:32:00,2023-01-02 22:33:36.450445749,3.03,15.8
79,ST-009,2023-01-02 13:31:00,2023-01-02 15:10:47.129083342,1.66,10.29
80,ST-001,2023-01-02 16:12:00,2023-01-02 18:28:16.387431577,2.27,13.51
81,ST-010,2023-01-02 20:05:00,2023-01-02 23:27:36.946665718,3.38,10.14
82,ST-011,2023-01-02 08:08:00,2023-01-02 10:00:41.031080977,1.88,12.8
83,ST-007,2023-01-02 10:46:00,2023-01-02 12:03:00.740976977,1.28,5.75
84,ST-011,2023-01-02 10:35:00,2023-01-02 13:27:27.880917101,2.87,16.11
85,ST-001,2023-01-02 03:34:00,2023-01-02 06:25:54.864269410,2.87,12.82
86,ST-014,2023-01-02 19:47:00,2023-01-02 19:59:00.000000000,0.2,0.5
87,ST-013,2023-01-02 06:07:00,2023-01-02 10:23:16.099887591,4.27,19.9
88,ST-011,2023-01-02 10:25:00,2023-01-02 13:53:35.459140654,3.48,18.5
89,ST-012,2023-01-02 13:53:00,2023-01-02 16:42:27.882793697,2.82,9.84
90,ST-008,2023-01-02 12:18:00,2023-01-02 15:15:36.261494007,2.96,16.02
91,ST-009,2023-01-02 12:26:00,2023-01-02 16:42:39.887965886,4.28,16.59
92,ST-015,2023-01-02 13:56:00,2023-01-02 17:26:47.744022896,3.51,15.49
93,ST-010,2023-01-02 16:59:00,2023-01-02 20:29:36.662688965,3.51,17.11
94,ST-005,2023-01-02 12:51:00,2023-01-02 13:03:00.000000000,0.2,5.69
95,ST-001,2023-01-02 13:41:00,2023-01-02 17:45:17.258958597,4.07,13.11
96,ST-007,2023-01-02 06:17:00,2023-01-02 07:49:49.331227090,1.55,8.13
97,ST-008,2023-01-02 14:55:00,2023-01-02 15:43:16.851381584,0.8,0.5
98,ST-001,2023-01-02 11:52:00,2023-01-02 14:55:04.546533815,3.05,15.53
99,ST-010,2023-01-03 13:05:00,2023-01-03 16:13:09.879528198,3.14,11.68
100,ST-007,2023-01-03 13:08:00,2023-01-03 16:37:04.683013803,3.48,14.15
101,ST-005,2023-01-03 11:39:00,2023-01-03 14:00:32.217837142,2.36,12.87
102,ST-013,2023-01-03 07:36:00,2023-01-03 08:19:16.959083047,0.72,0.5
103,ST-004,2023-01-03 15:03:00,2023-01-03 17:12:29.300833227,2.16,10.09
104,ST-013,2023-01-03 18:41:00,2023-01-03 21:06:01.324121983,2.42,14.7
105,ST-009,2023-01-03 09:37:00,2023-01-03 11:24:12.190478501,1.79,3.42
106,ST-001,2023-01-03 11:11:00,2023-01-03 14:38:51.487283715,3.46,20.41
107,ST-012,2023-01-03 14:36:00,2023-01-03 15:51:04.850182839,1.25,6.93
108,ST-004,2023-01-03 05:53:00,2023-01-03 09:29:50.243003575,3.61,14.09
109,ST-012,2023-01-03 08:11:00,2023-01-03 09:53:53.496244709,1.71,
110,ST-004,2023-01-03 14:38:00,2023-01-03 17:34:03.502408972,2.93,16.87
111,ST-009,2023-01-03 07:18:00,2023-01-03 11:04:50.400839590,3.78,15.64
112,ST-007,2023-01-03 14:56:00,2023-01-03 17:16:33.485869521,2.34,11.35
113,ST-014,2023-01-03 21:28:00,2023-01-04 00:02:59.726503773,2.58,11.85
114,ST-002,2023-01-03 09:18:00,2023-01-03 12:11:58.864009710,2.9,12.68
115,ST-015,2023-01-03 09:24:00,2023-01-03 09:59:33.068428905,0.59,0.5
116,ST-010,2023-01-03 11:19:00,2023-01-03 13:27:53.412345677,2.15,15.26
117,ST-003,2023-01-03 09:13:00,2023-01-03 12:08:02.100514588,2.92,11.61
118,ST-009,2023-01-03 13:38:00,2023-01-03 16:52:34.819225333,3.24,13.25
119,ST-006,2023-01-03 08:32:00,2023-01-03 11:02:27.384749404,2.51,18.83
120,ST-015,2023-01-03 18:30:00,2023-01-03 21:06:35.367169708,2.61,13.23
121,ST-013,2023-01-03 12:30:00,2023-01-03 14:03:52.636046146,1.56,8.18
122,ST-008,2023-01-03 15:50:00,2023-01-03 19:38:08.439859206,3.8,17.83
123,ST-002,2023-01-03 14:16:00,2023-01-03 16:23:46.532400039,2.13,12.18
124,ST-001,2023-01-03 11:44:00,2023-01-03 11:56:00.000000000,0.2,0.5
125,ST-007,2023-01-03 16:22:00,2023-01-03 18:00:11.845392209,1.64,2.69
126,ST-008,2023-01-03 10:21:00,2023-01-03 15:45:16.192852908,5.4,25.08
127,ST-007,2023-01-03 14:18:00,2023-01-03 14:55:36.659915064,0.63,1.87
128,ST-014,2023-01-03 12:38:00,2023-01-03 16:04:56.282445701,3.45,16.21
129,ST-008,2023-01-03 10:09:00,2023-01-03 13:43:38.562564333,3.58,20.63
130,ST-015,2023-01-03 09:33:00,2023-01-03 13:39:10.588332903,4.1,17.48
131,ST-008,2023-01-03 11:26:00,2023-01-03 15:40:45.796889489,4.25,19.08
132,ST-001,2023-01-03 19:26:00,2023-01-03 21:29:57.151537441,2.07,6.27
133,ST-004,2023-01-03 14:54:00,2023-01-03 15:31:15.920808180,0.62,4.65
134,ST-003,2023-01-03 17:29:00,2023-01-03 17:41:00.000000000,0.2,0.5
135,ST-005,2023-01-03 09:14:00,2023-01-03 12:01:49.916692790,2.8,11.77
136,ST-007,2023-01-03 12:40:00,2023-01-03 15:24:38.637199478,2.74,9.05
137,ST-012,2023-01-03 15:32:00,2023-01-03 18:29:43.363890674,2.96,14.7
138,ST-008,2023-01-03 21:46:00,2023-01-04 00:09:43.753181053,2.4,9.62
139,ST-005,2023-01-03 08:35:00,2023-01-03 09:35:23.881877563,1.01,1.76
140,ST-001,2023-01-03 14:23:00,2023-01-03 16:56:40.933692945,2.56,8.97
141,ST-001,2023-01-03 15:20:00,2023-01-03 17:38:30.319311936,2.31,8.2
142,ST-011,2023-01-03 13:26:00,2023-01-03 14:11:44.090239326,0.76,3.15
143,ST-007,2023-01-03 09:16:00,2023-01-03 11:59:40.123457057,2.73,7.64
144,ST-013,2023-01-03 17:37:00,2023-01-03 19:48:49.125115811,2.2,10.76
145,ST-008,2023-01-03 08:43:00,2023-01-03 10:51:50.875064942,2.15,6.23
146,ST-002,2023-01-03 20:06:00,2023-01-03 21:11:17.024412065,1.09,2.28
147,ST-015,2023-01-03 19:39:00,2023-01-03 20:40:59.342969827,1.03,5.29
148,ST-013,2023-01-03 06:44:00,2023-01-03 07:41:45.781026426,0.96,2.97
149,ST-015,2023-01-03 16:29:00,2023-01-03 19:16:23.969989626,2.79,6.95
150,ST-004,2023-01-03 10:24:00,2023-01-03 14:25:45.611977186,4.03,15.85
151,ST-009,2023-01-03 15:48:00,2023-01-03 19:12:55.842403695,3.42,16.37
152,ST-001,2023-01-03 15:22:00,2023-01-03 16:37:31.789216766,1.26,6.24
153,ST-012,2023-01-03 14:42:00,2023-01-03 16:13:55.492733392,1.53,2.89
154,ST-006,2023-01-03 13:48:00,2023-01-03 15:33:47.620217982,1.76,12.11
155,ST-004,2023-01-03 13:51:00,2023-01-03 16:40:21.706093971,2.82,10.56
156,ST-008,2023-01-03 10:01:00,2023-01-03 12:01:21.722448025,2.01,12.91
157,ST-004,2023-01-03 03:14:00,2023-01-03 07:39:59.247818451,4.43,27.15
158,ST-014,2023-01-03 05:17:00,2023-01-03 07:24:38.709222833,2.13,8.5
159,ST-009,2023-01-03 08:53:00,2023-01-03 12:04:43.704135498,3.2,15.63
160,ST-007,2023-01-03 15:43:00,2023-01-03 20:40:47.599122006,4.96,22.35
161,ST-012,2023-01-03 12:24:00,2023-01-03 15:38:17.909233304,3.24,9.06
162,ST-001,2023-01-03 11:23:00,2023-01-03 16:06:02.604055970,4.72,20.23
163,ST-002,2023-01-03 08:21:00,2023-01-03 11:33:16.959600588,3.2,15.06
164,ST-005,2023-01-03 13:27:00,2023-01-03 17:24:18.081375112,3.96,16.43
165,ST-014,2023-01-03 12:57:00,2023-01-03 14:22:01.532230496,1.42,5.21
166,ST-006,2023-01-03 06:53:00,2023-01-03 07:26:40.355974134,0.56,3.92
167,ST-005,2023-01-03 02:31:00,2023-01-03 05:57:30.526238147,3.44,15.96
168,ST-001,2023-01-03 07:17:00,2023-01-03 10:47:10.690112077,3.5,16.46
169,ST-006,2023-01-03 14:52:00,2023-01-03 17:52:15.214746491,3.0,14.38
170,ST-009,2023-01-03 16:47:00,2023-01-03 20:02:00.368069392,3.25,18.06
171,ST-009,2023-01-03 11:40:00,2023-01-03 13:35:30.274301660,1.93,10.84
172,ST-005,2023-01-03 11:06:00,2023-01-03 13:05:24.977495933,1.99,9.7
173,ST-003,2023-01-04 03:02:00,2023-01-04 04:32:28.634197319,1.51,4.29
174,ST-001,2023-01-04 09:14:00,2023-01-04 10:38:06.525579545,1.4,5.56
175,ST-012,2023-01-04 12:18:00,2023-01-04 13:33:46.884728428,1.26,5.39
176,ST-012,2023-01-04 09:03:00,2023-01-04 10:27:26.316501459,1.41,7.87
177,ST-008,2023-01-04 15:23:00,2023-01-04 17:52:01.045859444,2.48,13.03
178,ST-007,2023-01-04 12:51:00,2023-01-04 15:05:49.819137951,2.25,6.24
179,ST-001,2023-01-04 15:19:00,2023-01-04 17:23:43.885708818,2.08,6.08
180,ST-008,2023-01-04 17:15:00,2023-01-04 17:27:00.000000000,0.2,0.5
181,ST-013,2023-01-04 18:40:00,2023-01-04 21:30:20.775766211,2.84,14.79
182,ST-008,2023-01-04 08:02:00,2023-01-04 11:04:14.555256242,3.04,13.54
183,ST-010,2023-01-04 12:02:00,2023-01-04 14:52:01.580898283,2.83,12.94
184,ST-014,2023-01-04 16:11:00,2023-01-04 16:44:22.152984227,0.56,0.5
185,ST-008,2023-01-04 17:14:00,2023-01-04 18:30:30.908555702,1.28,0.5
186,ST-008,2023-01-04 16:00:00,2023-01-04 20:39:25.608336916,4.66,22.04
187,ST-014,2023-01-04 09:46:00,2023-01-04 12:16:49.469580017,2.51,10.16
188,ST-009,2023-01-04 21:27:00,2023-01-05 02:05:31.927496951,4.64,23.83
189,ST-012,2023-01-04 16:48:00,2023-01-04 20:04:03.186089030,3.27,15.7
190,ST-005,2023-01-04 15:12:00,2023-01-04 18:35:16.861500834,3.39,16.82
191,ST-013,2023-01-04 05:01:00,2023-01-04 07:37:01.243054413,2.6,9.77
192,ST-010,2023-01-04 19:43:00,2023-01-05 00:17:29.259872626,4.57,24.21
193,ST-002,2023-01-04 18:53:00,2023-01-04 21:23:52.069740199,2.51,11.67
194,ST-011,2023-01-04 14:41:00,2023-01-04 17:15:20.867210793,2.57,7.41
195,ST-004,2023-01-04 12:00:00,2023-01-04 16:39:25.464239904,4.66,23.17
196,ST-006,2023-01-04 13:07:00,2023-01-04 15:40:10.997473410,2.55,10.62
197,ST-003,2023-01-04 12:37:00,2023-01-04 14:13:16.855531261,1.6,3.31
198,ST-002,2023-01-04 14:17:00,2023-01-04 14:38:21.423550889,0.36,1.2
199,ST-001,2023-01-04 17:35:00,2023-01-04 21:18:51.615161264,3.73,16.53
200,ST-010,2023-01-04 08:36:00,2023-01-04 11:30:48.693188521,2.91,13.96
201,ST-008,2023-01-04 17:43:00,2023-01-04 20:03:28.772203785,2.34,6.57
202,ST-003,2023-01-04 13:25:00,2023-01-04 15:40:27.000379917,2.26,8.2
203,ST-006,2023-01-04 10:31:00,2023-01-04 12:15:46.754518306,1.75,8.62
204,ST-010,2023-01-04 13:23:00,2023-01-04 16:12:40.241378721,2.83,9.02
205,ST-004,2023-01-04 18:10:00,2023-01-04 19:16:19.816504987,1.11,0.5
206,ST-014,2023-01-04 13:44:00,2023-01-04 16:16:13.562641101,2.54,10.81
207,ST-002,2023-01-04 02:44:00,2023-01-04 05:42:30.434337541,2.98,17.77
208,ST-007,2023-01-04 11:06:00,2023-01-04 12:41:47.506917572,1.6,4.34
209,ST-008,2023-01-04 18:05:00,2023-01-04 22:47:17.510438106,4.7,19.69
210,ST-004,2023-01-04 13:58:00,2023-01-04 18:34:15.945235348,4.6,19.98
211,ST-010,2023-01-04 14:23:00,2023-01-04 20:41:52.647894867,6.31,30.34
212,ST-006,2023-01-04 16:24:00,2023-01-04 18:27:56.883439795,2.07,7.62
213,ST-002,2023-01-04 13:11:00,2023-01-04 16:01:03.447950691,2.83,12.51
214,ST-005,2023-01-04 14:09:00,2023-01-04 14:21:00.000000000,0.2,2.88
215,ST-011,2023-01-04 07:14:00,2023-01-04 09:39:47.663426530,2.43,10.94
216,ST-006,2023-01-04 16:16:00,2023-01-04 17:09:21.803281277,0.89,2.69
217,ST-001,2023-01-04 12:28:00,2023-01-04 15:18:04.693709676,2.83,9.45
218,ST-002,2023-01-04 13:57:00,2023-01-04 14:10:46.792185692,0.23,0.5
219,ST-004,2023-01-04 12:15:00,2023-01-04 14:37:33.225109357,2.38,10.37
220,ST-012,2023-01-04 16:54:00,2023-01-04 18:04:00.026828036,1.17,1.62
221,ST-009,2023-01-04 14:04:00,2023-01-04 18:03:38.172675752,3.99,16.28
222,ST-007,2023-01-04 06:05:00,2023-01-04 07:35:01.281357521,1.5,4.93
223,ST-008,2023-01-04 13:09:00,2023-01-04 15:16:33.255850847,2.13,12.5
224,ST-006,2023-01-04 09:35:00,2023-01-04 12:39:28.742326408,3.07,8.92
225,ST-013,2023-01-04 13:24:00,2023-01-04 15:43:23.048443553,2.32,14.99
226,ST-010,2023-01-04 21:56:00,2023-01-05 00:09:46.136139334,2.23,5.98
227,ST-006,2023-01-04 08:15:00,2023-01-04 09:50:52.414737445,1.6,8.22
228,ST-001,2023-01-04 10:26:00,2023-01-04 14:07:05.590226600,3.68,19.69
229,ST-009,2023-01-04 09:52:00,2023-01-04 13:00:07.065918783,3.14,17.89
230,ST-005,2023-01-04 11:14:00,2023-01-04 12:41:34.537292682,1.46,6.78
231,ST-001,2023-01-04 12:46:00,2023-01-04 17:31:30.995482481,4.76,20.43
232,ST-006,2023-01-04 12:32:00,2023-01-04 15:07:27.081403973,2.59,11.42
233,ST-003,2023-01-04 17:57:00,2023-01-04 22:25:36.742069646,4.48,20.63
234,ST-006,2023-01-04 08:33:00,2023-01-04 10:56:40.372472764,2.39,13.36
235,ST-006,2023-01-04 13:07:00,2023-01-04 16:40:49.221905333,3.56,17.15
236,ST-002,2023-01-04 14:27:00,2023-01-04 16:31:23.383276733,2.07,10.13
237,ST-013,2023-01-04 14:59:00,2023-01-04 15:11:00.000000000,0.2,0.5
238,ST-013,2023-01-04 14:09:00,2023-01-04 15:15:18.307669795,1.11,2.73
239,ST-014,2023-01-04 11:20:00,2023-01-04 16:31:29.415749580,5.19,22.84
240,ST-010,2023-01-04 19:47:00,2023-01-04 22:26:26.037141955,2.66,8.68
241,ST-005,2023-01-04 12:38:00,2023-01-04 13:29:44.316062489,0.86,3.03
242,ST-014,2023-01-04 16:03:00,2023-01-04 18:35:29.523296480,2.54,10.33
243,ST-008,2023-01-05 15:23:00,2023-01-05 16:41:01.243172148,1.3,2.6
244,ST-011,2023-01-05 11:27:00,2023-01-05 12:14:59.242159981,0.8,4.85
245,ST-010,2023-01-05 06:57:00,2023-01-05 09:43:31.361010802,2.78,14.42
246,ST-015,2023-01-05 15:50:00,2023-01-05 16:38:53.557496247,0.81,4.58
247,ST-012,2023-01-05 15:44:00,2023-01-05 17:52:12.682639087,2.14,7.95
248,ST-003,2023-01-05 18:18:00,2023-01-05 22:57:11.678635873,4.65,24.42
249,ST-006,2023-01-05 14:24:00,2023-01-05 17:49:12.674806107,3.42,15.41
250,ST-011,2023-01-05 16:54:00,2023-01-05 19:19:43.898969167,2.43,8.5
251,ST-011,2023-01-05 15:24:00,2023-01-05 17:54:12.931017983,2.5,12.04
252,ST-005,2023-01-05 11:40:00,2023-01-05 15:04:26.992066880,3.41,16.13
253,ST-014,2023-01-05 18:19:00,2023-01-05 20:12:56.782706970,1.9,3.39
254,ST-012,2023-01-05 08:14:00,2023-01-05 10:47:45.388736600,2.56,10.45
255,ST-012,2023-01-05 15:08:00,2023-01-05 18:02:28.261560352,2.91,13.74
256,ST-012,2023-01-05 15:12:00,2023-01-05 15:24:00.000000000,0.2,0.5
257,ST-009,2023-01-05 13:36:00,2023-01-05 16:05:39.985559990,2.49,14.11
258,ST-011,2023-01-05 13:58:00,2023-01-05 15:51:58.440145645,1.9,9.81
259,ST-009,2023-01-05 12:24:00,2023-01-05 16:05:00.108889270,3.68,14.53
260,ST-003,2023-01-05 15:56:00,2023-01-05 17:17:15.299349994,1.35,8.88
261,ST-011,2023-01-05 13:29:00,2023-01-05 15:04:06.762661320,1.59,4.4
262,ST-007,2023-01-05 15:54:00,2023-01-05 17:15:11.699276825,1.35,7.27
263,ST-001,2023-01-05 12:44:00,2023-01-05 15:21:53.678299759,2.63,18.91
264,ST-010,2023-01-05 18:27:00,2023-01-05 21:07:47.319228425,2.68,13.02
265,ST-005,2023-01-05 14:15:00,2023-01-05 16:33:56.080349156,2.32,14.55
266,ST-010,2023-01-05 17:48:00,2023-01-05 19:31:36.334040679,1.73,7.42
267,ST-001,2023-01-05 14:20:00,2023-01-05 18:34:02.944133922,4.23,18.4
268,ST-011,2023-01-05 08:46:00,2023-01-05 10:59:29.455736654,2.22,5.01
269,ST-005,2023-01-05 13:11:00,2023-01-05 17:15:58.137014242,4.08,26.39
270,ST-014,2023-01-05 18:55:00,2023-01-05 21:42:33.010715335,2.79,11.83
271,ST-009,2023-01-05 13:47:00,2023-01-05 16:24:56.909534644,2.63,10.36
272,ST-007,2023-01-05 06:06:00,2023-01-05 09:23:02.017895774,3.28,13.62
273,ST-008,2023-01-05 13:33:00,2023-01-05 17:00:14.107332595,3.45,15.74
274,ST-001,2023-01-05 17:59:00,2023-01-05 22:22:42.081372880,4.4,20.82
275,ST-002,2023-01-05 17:58:00,2023-01-05 21:49:22.029046867,3.86,18.81
276,ST-004,2023-01-05 15:03:00,2023-01-05 16:13:59.501245956,1.18,7.31
277,ST-011,2023-01-05 09:49:00,2023-01-05 13:52:51.401092930,4.06,20.4
278,ST-004,2023-01-05 11:44:00,2023-01-05 12:51:02.285005684,1.12,4.19
279,ST-005,2023-01-05 13:08:00,2023-01-05 16:59:37.499668228,3.86,15.9
280,ST-005,2023-01-05 09:32:00,2023-01-05 12:34:25.370641149,3.04,13.39
281,ST-002,2023-01-05 12:26:00,2023-01-05 14:42:44.360775054,2.28,9.22
282,ST-012,2023-01-05 12:49:00,2023-01-05 15:01:26.368804033,2.21,3.42
283,ST-005,2023-01-05 11:49:00,2023-01-05 13:29:37.116438916,1.68,11.52
284,ST-007,2023-01-05 18:23:00,2023-01-05 20:57:26.564019097,2.57,11.44
285,ST-004,2023-01-05 13:30:00,2023-01-05 18:03:45.194413175,4.56,13.12
286,ST-007,2023-01-05 10:13:00,2023-01-05 12:44:02.760449970,2.52,13.15
287,ST-012,2023-01-05 11:05:00,2023-01-05 14:48:22.268754804,3.72,19.47
288,ST-001,2023-01-05 16:23:00,2023-01-05 19:12:37.827538026,2.83,10.76
289,ST-003,2023-01-05 13:26:00,2023-01-05 15:56:05.788137979,2.5,15.43
290,ST-015,2023-01-05 07:52:00,2023-01-05 08:56:31.855758062,1.08,3.64
291,ST-015,2023-01-05 06:17:00,2023-01-05 07:36:04.117300417,1.32,3.22
292,ST-006,2023-01-05 20:49:00,2023-01-05 22:49:21.242515602,2.01,7.74
293,ST-014,2023-01-05 05:36:00,2023-01-05 07:57:35.077594715,2.36,7.39
294,ST-004,2023-01-05 06:45:00,2023-01-05 08:20:08.270340099,1.59,7.42
295,ST-012,2023-01-05 14:16:00,2023-01-05 15:10:55.487588441,0.92,6.59
296,ST-010,2023-01-05 15:40:00,2023-01-05 18:09:14.040917009,2.49,6.81
297,ST-009,2023-01-05 14:53:00,2023-01-05 18:07:08.010443650,3.24,13.81
298,ST-002,2023-01-05 17:28:00,2023-01-05 19:39:31.254217153,2.19,11.9
299,ST-006,2023-01-05 20:12:00,2023-01-05 21:13:35.040514846,1.03,1.74
300,ST-001,2023-01-05 08:12:00,2023-01-05 09:06:46.622304179,0.91,2.56
301,ST-008,2023-01-05 12:10:00,2023-01-05 13:53:09.565159847,1.72,5.54
302,ST-006,2023-01-05 09:21:00,2023-01-05 14:35:16.654029832,5.24,23.94
303,ST-014,2023-01-05 11:36:00,2023-01-05 13:52:36.667154556,2.28,7.88
304,ST-011,2023-01-05 07:05:00,2023-01-05 07:24:38.127302484,0.33,
305,ST-007,2023-01-05 18:07:00,2023-01-05 20:33:48.035755517,2.45,14.64
306,ST-011,2023-01-05 16:31:00,2023-01-05 17:56:08.124980284,1.42,7.82
307,ST-001,2023-01-05 10:19:00,2023-01-05 13:29:17.214401061,3.17,15.65
308,ST-014,2023-01-05 08:10:00,2023-01-05 09:14:44.565606199,1.08,5.01
